Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Select Drug List 4-Tier (Small Group) (NH),,Formulary Database,Anthem,,CarelonRx,Health Plan,NH,1,Health Plan: [NH],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_4_Tier_NH_SG.pdf,https://portal.policyreporter.com/policy-updates/290086,290086,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290086&updateid=%24878508,5/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecOD2fUCgfZGfwOf-290086-NHSelect Drug Lis,recOD2fUCgfZGfwOf
Select Drug List 4-Tier Split (Small Group) (NV),,Formulary Database,Anthem,,CarelonRx,Health Plan,NV,1,Health Plan: [NV],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_4_Tier_NV_SG_Split.pdf,https://portal.policyreporter.com/policy-updates/290089,290089,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290089&updateid=%24735574,1/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecTQvqIHsZmuUaFe-290089-NVSelect Drug Lis,recTQvqIHsZmuUaFe
Select Drug List 4-Tier Split (Small Group) (OH),,Formulary Database,Anthem,,CarelonRx,Health Plan,OH,1,Health Plan: [OH],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_4_Tier_OH_SG_Split.pdf,https://portal.policyreporter.com/policy-updates/290090,290090,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290090&updateid=%24878499,5/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreccF9gLsBdgPWQ4I-290090-OHSelect Drug Lis,reccF9gLsBdgPWQ4I
Select Drug List 4-Tier Split (Small Group) (VA),,Formulary Database,Anthem,,CarelonRx,Health Plan,VA,1,Health Plan: [VA],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_4_Tier_VA_SG_Split.pdf,https://portal.policyreporter.com/policy-updates/290092,290092,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290092&updateid=%24875314,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreck7E0Ytb51ODibn-290092-VASelect Drug Lis,reck7E0Ytb51ODibn
Select Over-the-Counter (OTC) Drug List (Health Plan),,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://www.aetnafeds.com/pdf/2024/2024_Select_OTC_Drug_List.pdf,https://portal.policyreporter.com/policy-updates/290100,290100,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290100&updateid=%24221805,4/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecjxx9nmYcW7Z2HY-290100-AKSelect Over-the,recjxx9nmYcW7Z2HY
Excluded Drugs and Alternatives List (Health Plan),,Formulary Database,BCBS Texas,,Prime Therapeutics,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://www.bcbstx.com/docs/rx-drugs/qhp-charts/tx/qhp-2025-rx-excluded-alt-tx.pdf,https://portal.policyreporter.com/policy-updates/290130,290130,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290130&updateid=%24839143,4/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecmu4KnR0pQmVu8o-290130-AKExcluded Drugs ,recmu4KnR0pQmVu8o
Select 3-Tier Drug List Without Contraceptives (Individual) (NY),,Formulary Database,Anthem,,CarelonRx,Health Plan,NY,1,Health Plan: [NY],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_3_Tier_NY_ABS_IND_no_BC.pdf,https://portal.policyreporter.com/policy-updates/290133,290133,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290133&updateid=%24875612,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec2BV3PPvR1v0nbe-290133-NYSelect 3-Tier D,rec2BV3PPvR1v0nbe
Select 3-Tier Drug List Without Contraceptives (Small Group) (NY),,Formulary Database,Anthem,,CarelonRx,Health Plan,NY,1,Health Plan: [NY],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_3_Tier_NY_ABS_SG_no_BC.pdf,https://portal.policyreporter.com/policy-updates/290135,290135,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290135&updateid=%24875618,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecUl2snnlhnP1I6A-290135-NYSelect 3-Tier D,recUl2snnlhnP1I6A
PreventiveRX Enhanced Drug List (Traditional Open) (NY),,Formulary Database,Anthem,,CarelonRx,Health Plan,NY,1,Health Plan: [NY],Preventive services document,,https://file.anthem.com/A00528NYMENABS.1.pdf,https://portal.policyreporter.com/policy-updates/290139,290139,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290139&updateid=%24846429,4/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec9T4eCECFlax0YK-290139-NYPreventiveRX En,rec9T4eCECFlax0YK
Advanced Control Specialty Drug List (Health Plan),,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/individuals-families-health-insurance/document-library/pharmacy/2025-ACSF-Specialty-drug-list.pdf,https://portal.policyreporter.com/policy-updates/290153,290153,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290153&updateid=%24713541,1/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecSAvCGVz5BWsOYE-290153-AKAdvanced Contro,recSAvCGVz5BWsOYE
PreventiveRx Plus Plan Drug List (National Direct) (VA),,Formulary Database,Anthem,,CarelonRx,Health Plan,VA,1,Health Plan: [VA],Preventive services document,,https://file.anthem.com/A00444ANMENBVA-1.1.pdf,https://portal.policyreporter.com/policy-updates/290182,290182,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290182&updateid=%24864826,4/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecQGUCv0qdu5Cph2-290182-VAPreventiveRx Pl,recQGUCv0qdu5Cph2
PreventiveRx Plus Plan (National) Drug List,,Formulary Database,Anthem,,CarelonRx,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Preventive services document,,https://file.anthem.com/05509MUMENABS-1.1.pdf,https://portal.policyreporter.com/policy-updates/290183,290183,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290183&updateid=%24865060,4/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec59JZby9fpe5JqL-290183-AKPreventiveRx Pl,rec59JZby9fpe5JqL
Select PreventiveRx Plus Plan (GA),,Formulary Database,Anthem,,CarelonRx,Health Plan,GA,1,Health Plan: [GA],Preventive services document,,https://file.anthem.com/04680GAMENABS-1.1.pdf,https://portal.policyreporter.com/policy-updates/290184,290184,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290184&updateid=%24899908,5/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecGo41yDtyg8JrRl-290184-GASelect Preventi,recGo41yDtyg8JrRl
Home Infusion Therapy Exclusion List (VA),,Formulary Database,Anthem,,CarelonRx,Health Plan,VA,1,Health Plan: [VA],Formulary,,https://file.anthem.com/05282VAMENBVA.pdf,https://portal.policyreporter.com/policy-updates/290187,290187,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290187&updateid=%24498036,9/14/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecFZDpaakkKEqDhc-290187-VAHome Infusion T,recFZDpaakkKEqDhc
National Drug List Medication Alternatives (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/64774CAESPABC.1.pdf,https://portal.policyreporter.com/policy-updates/290190,290190,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290190&updateid=%24827559,3/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec9SaJX0HbdW52BH-290190-CANational Drug L,rec9SaJX0HbdW52BH
National Direct Drug List Medication Alternatives (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,http://file.anthem.com/A00438CAEENABC.1.pdf,https://portal.policyreporter.com/policy-updates/290191,290191,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290191&updateid=%24827568,3/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecAWYhv81KPit48c-290191-CANational Direct,recAWYhv81KPit48c
Select Drug List 4-Tier (Small Group) (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://fm.formularynavigator.com/FBO/143/2025_Select_4_Tier_CA_SG.pdf,https://portal.policyreporter.com/policy-updates/290383,290383,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290383&updateid=%24878588,5/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecmVIOgVrjZLrsHy-290383-CASelect Drug Lis,recmVIOgVrjZLrsHy
PreventiveRx Plus Plan (Essential) (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Preventive services document,,https://file.anthem.com/04386CAMENABC-1.1.pdf,https://portal.policyreporter.com/policy-updates/290401,290401,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290401&updateid=%24866690,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreceBbXtPHp14PVeN-290401-CAPreventiveRx Pl,receBbXtPHp14PVeN
PreventiveRx Expanded Plan (National) (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Preventive services document,,https://file.anthem.com/13017CAMENABC.pdf,https://portal.policyreporter.com/policy-updates/290404,290404,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290404&updateid=%24831378,4/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecb9upMGTYoAktmD-290404-CAPreventiveRx Ex,recb9upMGTYoAktmD
Traditional Open PreventiveRx Plus Plan (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/04320CAMENABC-1.1.pdf,https://portal.policyreporter.com/policy-updates/290414,290414,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290414&updateid=%24866689,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecbUGrnOHimGQAP5-290414-CATraditional Ope,recbUGrnOHimGQAP5
Traditional Open PreventiveRx Enhanced Plan (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/A00528CAMENABC.1.pdf,https://portal.policyreporter.com/policy-updates/290415,290415,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290415&updateid=%24846432,4/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec06LHP2DDCV63lx-290415-CATraditional Ope,rec06LHP2DDCV63lx
Specialty Drugs not Covered under the Pharmacy Benefit (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/03771CAMENABC.pdf,https://portal.policyreporter.com/policy-updates/290416,290416,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290416&updateid=%24868762,4/26/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecSoIs4Xv3G2X4BE-290416-CASpecialty Drugs,recSoIs4Xv3G2X4BE
Specialty Drugs not Covered under the Medical Benefit (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/05308CAMENABC.pdf,https://portal.policyreporter.com/policy-updates/290417,290417,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290417&updateid=%24232840,4/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrechAW4AR9km6q03W-290417-CASpecialty Drugs,rechAW4AR9km6q03W
Home Infusion Therapy Exclusion List (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/05282CAMENABC.pdf,https://portal.policyreporter.com/policy-updates/290419,290419,https://portal.policyreporter.com/geturlupdate.php?urlid=%1290419&updateid=%24498029,9/14/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecedKnP4SSJqDx1F-290419-CAHome Infusion T,recedKnP4SSJqDx1F
Veteran's Administration (West CA),,Policy Database,United Healthcare,,,Commercial,CA,1,Commercial: [CA],Reimbursement & Billing Document,"[""Administrative Documents->Service Coverage Admin->Covered Services"",""Payment Policies->Billing Policies->Payment Procedures Billing->Waivers of Cost-Shares and Deductibles""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290439&updateid=4793282,https://portal.policyreporter.com/policy-updates/290439,290439,,3/3/2025,Pending,,,4/1/2026,716162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecR1s027jNQ1k4Wa-290439-CAVeteran's Admin,recR1s027jNQ1k4Wa
"Veteran's Administration (West TX, OK, OR, WA)",,Policy Database,United Healthcare,,,Commercial,CA,1,Commercial: [CA],Reimbursement & Billing Document,"[""Administrative Documents->Service Coverage Admin->Covered Services"",""Payment Policies->Billing Policies->Payment Procedures Billing->Waivers of Cost-Shares and Deductibles""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290440&updateid=4793283,https://portal.policyreporter.com/policy-updates/290440,290440,,3/3/2025,Pending,4/1/2025,,4/1/2026,716162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreco5u7whzgoHEMLV-290440-CAVeteran's Admin,reco5u7whzgoHEMLV
Unclassified Drugs,,Policy Database,Florida Blue,,,"Commercial,Medicare Advantage",FL,1,"Commercial: [FL],Medicare Advantage: [FL]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290563&updateid=4888813,https://portal.policyreporter.com/policy-updates/290563,290563,,5/9/2025,Active,5/8/2025,,5/8/2026,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecMuBvmaYT6Wb6AQ-290563-FLUnclassified Dr,recMuBvmaYT6Wb6AQ
Virtual Visits,,Policy Database,Anthem,,,Commercial,"CA,CO,CT,GA,IN,KY,LA,ME,MO,NH,NV,OH,OR,VA,WI",15,"Commercial: [CA,CO,CT,GA,IN,KY,ME,MO,NH,NV,OH,VA,WI,LA,OR]",Reimbursement & Billing Document,"[""Payment Policies->Point of Service Billing->Telehealth and Remote Healthcare Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290787&updateid=4410824,https://portal.policyreporter.com/policy-updates/290787,290787,,7/30/2024,Active,7/30/2024,,7/30/2025,4520455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecVAhobGRSlovRxl-290787-CAVirtual Visits,recVAhobGRSlovRxl
Hospital Inpatient or Observation Discharge,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Observation Services Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290842&updateid=4497295,https://portal.policyreporter.com/policy-updates/290842,290842,,9/13/2024,Active,9/12/2024,,9/12/2025,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec5FiMUp16PRTkLy-290842-FLHospital Inpati,rec5FiMUp16PRTkLy
Evaluation and Management for Office or Other Outpatient Services,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing->In-Office Modifier Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290843&updateid=4715863,https://portal.policyreporter.com/policy-updates/290843,290843,,1/10/2025,Active,1/9/2025,,1/9/2026,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreca6GMcPW5x3q5qK-290843-FLEvaluation and ,reca6GMcPW5x3q5qK
Global Surgery Package,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Global Period Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=290844&updateid=4560371,https://portal.policyreporter.com/policy-updates/290844,290844,,10/19/2024,Active,10/17/2024,,10/17/2025,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec38GUwumRunFPtS-290844-FLGlobal Surgery ,rec38GUwumRunFPtS
ACA Contraceptive Drug List Religious Affiliate Groups (NY),,Formulary Database,Anthem,,CarelonRx,Health Plan,NY,1,Health Plan: [NY],Formulary,,https://file.anthem.com/A00898NYMENABS.pdf,https://portal.policyreporter.com/policy-updates/291090,291090,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291090&updateid=%24797467,3/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec76933tFMIe3LDn-291090-NYACA Contracepti,rec76933tFMIe3LDn
Medical Specialty Pharmacy Drug List (NY),,Formulary Database,Anthem,,CarelonRx,Health Plan,NY,1,Health Plan: [NY],Formulary,,https://file.anthem.com/A00636NYPENABS.pdf,https://portal.policyreporter.com/policy-updates/291092,291092,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291092&updateid=%24847197,4/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecfVIuFeBsG0no7c-291092-NYMedical Special,recfVIuFeBsG0no7c
AnthemLink $0 Drug List (Individual) (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/A00772CAMENABC.pdf,https://portal.policyreporter.com/policy-updates/291235,291235,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291235&updateid=%22974691,2/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecNOFgz3UlY1DWu9-291235-CAAnthemLink $0 D,recNOFgz3UlY1DWu9
ACA Contraceptive Drug List for Religious Affiliate Groups (CA),,Formulary Database,Anthem,,CarelonRx,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://file.anthem.com/A00898MUMENABC.pdf,https://portal.policyreporter.com/policy-updates/291237,291237,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291237&updateid=%22974698,2/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecUX2zOXkVAM3eno-291237-CAACA Contracepti,recUX2zOXkVAM3eno
AnthemLink $0 Drug List for Individual ACA Plans Only,,Formulary Database,Anthem,,CarelonRx,Health Plan,"CO,CT,GA,IN,KY,ME,MO,NH,NV,OH,VA,WI",12,"Health Plan: [CO,CT,GA,IN,KY,ME,MO,NH,NV,OH,VA,WI]",Formulary,,https://file.anthem.com/A00772MUMENABS.pdf,https://portal.policyreporter.com/policy-updates/291238,291238,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291238&updateid=%24165518,3/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec1dbiNbHaeg4oip-291238-COAnthemLink $0 D,rec1dbiNbHaeg4oip
AnthemLink $0 Drug List for Individual ACA Plans Only (VA),,Formulary Database,Anthem,,CarelonRx,Health Plan,VA,1,Health Plan: [VA],Formulary,,https://file.anthem.com/A00772VAMENBVA.pdf,https://portal.policyreporter.com/policy-updates/291239,291239,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291239&updateid=%24169848,3/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec2yBKGEmU9X9p5q-291239-VAAnthemLink $0 D,rec2yBKGEmU9X9p5q
ACA Contraceptive Drug List for Religious Affiliate Groups,,Formulary Database,Anthem,,CarelonRx,Health Plan,"CO,CT,GA,IN,KY,ME,MO,NH,NV,OH,VA,WI",12,"Health Plan: [CO,CT,GA,IN,KY,ME,MO,NH,NV,OH,VA,WI]",Formulary,,https://file.anthem.com/A00898MUMENABS.pdf,https://portal.policyreporter.com/policy-updates/291241,291241,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291241&updateid=%24787348,2/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec0tbugKBoeutHvl-291241-COACA Contracepti,rec0tbugKBoeutHvl
ACA Contraceptive Drug List for Religious Affiliate Groups (VA),,Formulary Database,Anthem,,CarelonRx,Health Plan,VA,1,Health Plan: [VA],Formulary,,https://file.anthem.com/A00898MUMENBVA.pdf,https://portal.policyreporter.com/policy-updates/291242,291242,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291242&updateid=%24787352,2/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecsDRuPjYXXOVMoW-291242-VAACA Contracepti,recsDRuPjYXXOVMoW
Select PreventiveRx Plus Enhanced Plan (MO),,Formulary Database,Anthem,,CarelonRx,Health Plan,MO,1,Health Plan: [MO],Preventive services document,,https://file.anthem.com/A00530MOMENABS.1.pdf,https://portal.policyreporter.com/policy-updates/291244,291244,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291244&updateid=%24847212,4/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecp1lEL5g52uyP9T-291244-MOSelect Preventi,recp1lEL5g52uyP9T
Select PreventiveRx Plus Plan (MO),,Formulary Database,Anthem,,CarelonRx,Health Plan,MO,1,Health Plan: [MO],Preventive services document,,https://file.anthem.com/04680MOMENABS-1.1.pdf,https://portal.policyreporter.com/policy-updates/291245,291245,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291245&updateid=%24899080,5/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec8jrbtzKGbxCAPA-291245-MOSelect Preventi,rec8jrbtzKGbxCAPA
Select PreventiveRx Plus Plan (NH),,Formulary Database,Anthem,,CarelonRx,Health Plan,NH,1,Health Plan: [NH],Preventive services document,,https://file.anthem.com/04680NHMENABS-1.1.pdf,https://portal.policyreporter.com/policy-updates/291247,291247,https://portal.policyreporter.com/geturlupdate.php?urlid=%1291247&updateid=%24899083,5/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec7KDkf6pNml83OH-291247-NHSelect Preventi,rec7KDkf6pNml83OH
Observation Services,,Policy Database,Anthem,,,Commercial,GA,1,Commercial: [GA],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Observation Services Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=291258&updateid=3273054,https://portal.policyreporter.com/policy-updates/291258,291256,,9/25/2022,Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecqiq1anM5fwB7GC-291256-GAObservation Ser,recqiq1anM5fwB7GC
