Document Title,uuid_formula,airtable_uuid,duplicate_flagger
Inpatient Readmissions,CHIR_IDrecoNyu0QPOS0Sp2R-245673-ILInpatient Readm,recoNyu0QPOS0Sp2R,non_duplicate
Georgia Local Precertification/Prior Authorization List,CHIR_IDrecazoAQJOX1h3DPm-245996-GAGeorgia Local P,recazoAQJOX1h3DPm,non_duplicate
Self-Administered Medications List (Commercial),CHIR_IDrecvFaNUqUPTNaTKK-245998-AKSelf-Administer,recvFaNUqUPTNaTKK,non_duplicate
Continuous Glucose Monitoring IMPLANTABLE,CHIR_IDrecAjzYgh9pic2R6r-246071-CAContinuous Gluc,recAjzYgh9pic2R6r,true_duplicate
Continuous Glucose Monitoring,CHIR_IDrecOTvumKhlgyxws5-246071-CAContinuous Gluc,recOTvumKhlgyxws5,true_duplicate
"Basaglar (WA, OR Commercial)","CHIR_IDrecj5UqSF67n9xcwk-246160-ORBasaglar (WA, O",recj5UqSF67n9xcwk,non_duplicate
Co-Surgeon/Team Surgeon Modifiers,CHIR_IDrec9oZuPbnqFdZSIS-246523-CTCo-Surgeon/Team,rec9oZuPbnqFdZSIS,cross_state_duplicate
Continuous Glucose Monitor (CGM) (IL Commercial),CHIR_IDrecDUKmz5cXfTJ9DA-246523-ILContinuous Gluc,recDUKmz5cXfTJ9DA,cross_state_duplicate
General Prior Authorization Request Form (UnitedHealthcare),CHIR_IDrechDQNIVrLSFnPtL-247035-AKGeneral Prior A,rechDQNIVrLSFnPtL,non_duplicate
General Medication (AR Commercial),CHIR_IDrectETFfxLl33wqPL-247277-ARGeneral Medicat,rectETFfxLl33wqPL,non_duplicate
Prescription Drug (CA Commercial),CHIR_IDrecVFxD9yIhEJK1vb-247278-CAPrescription Dr,recVFxD9yIhEJK1vb,non_duplicate
Uniform Drug (CO Commercial),CHIR_IDrecvmWgksfjxVSVJ3-247279-COUniform Drug (C,recvmWgksfjxVSVJ3,non_duplicate
Uniform Prescription Drug (LA Commercial),CHIR_IDrecvbZkCJjCJIZ11h-247281-LAUniform Prescri,recvbZkCJjCJIZ11h,non_duplicate
Standard Medication (MA Commercial),CHIR_IDrecTrvgP1JMhwXPVm-247282-MAStandard Medica,recTrvgP1JMhwXPVm,non_duplicate
Prescription Drugs (MI Commercial),CHIR_IDrecx6HfPspM8bEmhL-247283-MIPrescription Dr,recx6HfPspM8bEmhL,non_duplicate
General Medication (MS Commercial),CHIR_IDrecboz2xgRfWaMsQ4-247284-MSGeneral Medicat,recboz2xgRfWaMsQ4,non_duplicate
Uniform Prescription Drugs (NH Commercial),CHIR_IDrecvFdminzWEcY8v7-247285-NHUniform Prescri,recvFdminzWEcY8v7,non_duplicate
Uniform Prescription (OR Commercial),CHIR_IDrec6KnckyNmLKNhhl-247287-ORUniform Prescri,rec6KnckyNmLKNhhl,non_duplicate
Prescription Drugs (TX Commercial),CHIR_IDrecrlKaG20uW6WVzm-247288-TXPrescription Dr,recrlKaG20uW6WVzm,non_duplicate
General Medication (WV Commercial),CHIR_IDrecEmV4QNnAtpq5D5-247289-WVGeneral Medicat,recEmV4QNnAtpq5D5,non_duplicate
Master Precertification List,CHIR_IDrectOhdKhOeAaBjQB-247405-AKMaster Precerti,rectOhdKhOeAaBjQB,non_duplicate
Drugs Not Covered,CHIR_IDrecFcU2vobCMg1f9u-247455-FLDrugs Not Cover,recFcU2vobCMg1f9u,non_duplicate
Responsible Quantity Program,CHIR_IDrec9QgAyYuB6BEUSd-247456-FLResponsible Qua,rec9QgAyYuB6BEUSd,non_duplicate
Physician Quantity Limits,CHIR_IDrectJxurvK3BUbOgF-247457-FLPhysician Quant,rectJxurvK3BUbOgF,non_duplicate
Coverage Exception,CHIR_IDrecNE8RYlnOXPFm6x-247458-FLCoverage Except,recNE8RYlnOXPFm6x,non_duplicate
"Emergency Department Facility Evaluation and Management (Commercial, Medicare)",CHIR_IDrec10SUeDXdRRFDK8-248802-AZEmergency Depar,rec10SUeDXdRRFDK8,non_duplicate
BlueCare (HMO) Grievance and Appeal Form,CHIR_IDrecRGukkwkYfHp6sx-249190-FLBlueCare (HMO) ,recRGukkwkYfHp6sx,non_duplicate
"Replacement Codes Policy, Professional (Commercial, Individual Exchange)",CHIR_IDreccKItlSHSJmSQVu-249776-AKReplacement Cod,reccKItlSHSJmSQVu,non_duplicate
GLP-1 Agonists (Commerical),CHIR_IDrecWTr4Dbg4fcQYPC-250541-ILGLP-1 Agonists ,recWTr4Dbg4fcQYPC,cross_state_duplicate
GLP-1 Agonists (Commerical),CHIR_IDrecbiShYpH5FCJQvZ-250541-TXGLP-1 Agonists ,recbiShYpH5FCJQvZ,cross_state_duplicate
Insulin Combination Agents (Commerical),CHIR_IDrecSLjofqbNd5nfEQ-250545-ILInsulin Combina,recSLjofqbNd5nfEQ,cross_state_duplicate
Insulin Combination Agents (Commerical),CHIR_IDreceLMYmSfRkMzAoc-250545-TXInsulin Combina,receLMYmSfRkMzAoc,cross_state_duplicate
Coronavirus (COVID 19) Interim Billing Guidance for Providers (Commercial),CHIR_IDrecBflazaemSrXix3-250933-AKCoronavirus (CO,recBflazaemSrXix3,non_duplicate
Ambulatory Surgery Center,CHIR_IDrecxaAJyzlIKa2NRr-250941-CAAmbulatory Surg,recxaAJyzlIKa2NRr,non_duplicate
Transition of Care (IL),CHIR_IDrecuoJuYicNtuaTTB-250956-ILTransition of C,recuoJuYicNtuaTTB,non_duplicate
General PA Form (IL),CHIR_IDrec9fDl0Vm8sd1JL2-250957-ILGeneral PA Form,rec9fDl0Vm8sd1JL2,non_duplicate
COVID 19 News,CHIR_IDrecnyQg2ixUTrEji9-251858-ILCOVID 19 News,recnyQg2ixUTrEji9,non_duplicate
COVID 19 Telehealth Services News,CHIR_IDrecoA8odXQWYis8dw-251892-AKCOVID 19 Telehe,recoA8odXQWYis8dw,non_duplicate
"COVID 19 Testing, Coding, and Reimbursement News",CHIR_IDrecB5k9LXCvAkFT8v-251893-AKCOVID 19 Testin,recB5k9LXCvAkFT8v,non_duplicate
COVID 19 Prior Authorization and Patient Care News,CHIR_IDrecAdkb0NT07CAgfP-251894-AKCOVID 19 Prior ,recAdkb0NT07CAgfP,non_duplicate
COVID 19 Credentialing News,CHIR_IDrecUPoJP2nk5sQG1V-251895-AKCOVID 19 Creden,recUPoJP2nk5sQG1V,non_duplicate
"COVID 19 News (Individual, Family, and Employer Group Plans)",CHIR_IDrecoOTIkkbvCQYgte-251900-CACOVID 19 News (,recoOTIkkbvCQYgte,non_duplicate
COVID 19 Telemedicine News (Commercial),CHIR_IDrecrQJt7FDP7kcLQT-251937-AKCOVID 19 Teleme,recrQJt7FDP7kcLQT,non_duplicate
"COVID 19 Billing and Coding News (Commercial, Medicare)",CHIR_IDrecriutSvu0VGGcGV-251938-AKCOVID 19 Billin,recriutSvu0VGGcGV,non_duplicate
COVID 19 Patient Coverage News,CHIR_IDrecxxEyw1o42iW7QY-251939-AKCOVID 19 Patien,recxxEyw1o42iW7QY,non_duplicate
COVID 19 News (Individuals and Families),CHIR_IDrecQ8RBCttj0bWHMm-251942-ALCOVID 19 News (,recQ8RBCttj0bWHMm,non_duplicate
Driving Skills Assessment (WA Commercial),CHIR_IDrec427WBXUswawm75-252141-WADriving Skills ,rec427WBXUswawm75,non_duplicate
Basic Annual Dispensing Limits List (Health Plan),CHIR_IDrec9DPMkR0s4bTm5J-252487-AKBasic Annual Di,rec9DPMkR0s4bTm5J,non_duplicate
"Outpatient Hospital CCI Editing Policy, Facility (Commercial, Individual Exchange)",CHIR_IDreczwS0FrUn7SeDaG-252977-AKOutpatient Hosp,reczwS0FrUn7SeDaG,non_duplicate
Small Group ACA Master PA Criteria,CHIR_IDrec1caWJtcgtcMXQm-253056-AKSmall Group ACA,rec1caWJtcgtcMXQm,non_duplicate
Essential Drug List Medication Alternatives (CA),CHIR_IDrecUtJFQh2H2NsSMa-253377-CAEssential Drug ,recUtJFQh2H2NsSMa,non_duplicate
CarelonRx Exclusive Specialty Drug List (CA),CHIR_IDrectvRR0S0e59HBNx-253379-CACarelonRx Exclu,rectvRR0S0e59HBNx,non_duplicate
Trauma Activation Facility Services,CHIR_IDrecujR3porur4P6FV-254054-ILTrauma Activati,recujR3porur4P6FV,non_duplicate
Transitional Care Request (Commercial),CHIR_IDrecLfJXP9mmCjD8fh-254338-ILTransitional Ca,recLfJXP9mmCjD8fh,non_duplicate
Transitional Care Request (Commercial),CHIR_IDrecsCs8b7NuNinCZI-254340-TXTransitional Ca,recsCs8b7NuNinCZI,non_duplicate
"Line Item Deduction (WA Commercial, WA Medicare)",CHIR_IDrec5JVXSvBMEGgDAc-254347-WALine Item Deduc,rec5JVXSvBMEGgDAc,non_duplicate
"Medical Necessity (WA Commercial, WA Medicare)",CHIR_IDrecbuQwUw1HvTC7jG-254348-WAMedical Necessi,recbuQwUw1HvTC7jG,non_duplicate
"Trauma Activation (WA Commercial, WA Medicare)",CHIR_IDrecY8lowmXhuMFtox-254349-WATrauma Activati,recY8lowmXhuMFtox,non_duplicate
Ambulance Services,CHIR_IDrecJzT0ZsIWDJbuzS-254960-AZAmbulance Servi,recJzT0ZsIWDJbuzS,non_duplicate
"Outpatient Medical Visits and Trauma Activation, Facility (Commercial, Individual Exchange)",CHIR_IDrecclRXoNkO0aHTCZ-256002-AKOutpatient Medi,recclRXoNkO0aHTCZ,non_duplicate
KPCO Master PA Criteria (CO),CHIR_IDrecmTtqsKmKSiy0hI-256041-COKPCO Master PA ,recmTtqsKmKSiy0hI,non_duplicate
"Non-Reimbursable Experimental, Investigational and/or Unproven Services",CHIR_IDrecNQF6rLbtG9uqBa-256543-ILNon-Reimbursabl,recNQF6rLbtG9uqBa,non_duplicate
"Mid and Large Size Employer Group Formulary (MD, VA, D.C.)",CHIR_IDrec5HUmepgzacLkrL-256631-DCMid and Large S,rec5HUmepgzacLkrL,true_duplicate
"Mid and Large Size Employer Group Formulary (MD, VA, D.C.)",CHIR_IDrec6VvRt9RDkOlgBl-256631-DCMid and Large S,rec6VvRt9RDkOlgBl,true_duplicate
"Mid and Large Size Employer Group Formulary (MD, VA, D.C.)",CHIR_IDrecbNS7Wb9lOrmXnF-256631-DCMid and Large S,recbNS7Wb9lOrmXnF,true_duplicate
No-Cost Preventive Drug List (Health Plan),CHIR_IDreci8hcVPTJG26sVJ-256905-AKNo-Cost Prevent,reci8hcVPTJG26sVJ,non_duplicate
Master PA Criteria (Commercial),CHIR_IDrecmbiIpPYa8RwSXN-256949-DCMaster PA Crite,recmbiIpPYa8RwSXN,non_duplicate
"Kaiser Permanente Bernard J. Tyson School of Medicine, Inc. Exclusive Provider Organization (EPO) Student Blanket Health Plan Drug Formulary",CHIR_IDrecom59K2nY26Si0v-256950-CAKaiser Permanen,recom59K2nY26Si0v,true_duplicate
"Kaiser Permanente Bernard J. Tyson School of Medicine, Inc. Exclusive Provider Organization (EPO) Student Blanket Health Plan Drug Formulary",CHIR_IDrecsBFuSUeOV3S9il-256950-CAKaiser Permanen,recsBFuSUeOV3S9il,true_duplicate
"Physical Medicine and Rehabilitation: Multiple Therapy Procedure Reduction, Professional (Commercial, Individual Exchange)",CHIR_IDreclL30QNf8IMWUi2-25841-AKPhysical Medici,reclL30QNf8IMWUi2,non_duplicate
Category III CPT Codes,CHIR_IDrecqixAHoiENRTdI8-258841-AKCategory III CP,recqixAHoiENRTdI8,non_duplicate
Invokana (Non-formulary) (Commercial),CHIR_IDrec1lwhgi2Ifu794h-258955-AKInvokana (Non-f,rec1lwhgi2Ifu794h,non_duplicate
"Women's Health (WA Commercial, WA Medicare)",CHIR_IDrecvCeh7d2YsiRe7z-258994-WAWomen's Health ,recvCeh7d2YsiRe7z,non_duplicate
"Diphtheria, Tetanus, and Pertussis Vaccines (Commercial)","CHIR_IDrecSVtBTdN0a6keto-2591-AKDiphtheria, Tet",recSVtBTdN0a6keto,non_duplicate
Outpatient Facility and Hospital Claims: Revenue Codes Requiring CPT or HCPCS Codes,CHIR_IDrecO7ST42Zrnc9ZSD-259240-ILOutpatient Faci,recO7ST42Zrnc9ZSD,non_duplicate
Specialty Medical Injectables Updates,CHIR_IDrecDEw1phBPP8r1hM-259344-AKSpecialty Medic,recDEw1phBPP8r1hM,non_duplicate
Multiple Diagnostic Imaging Multiple Procedure Payment Reduction (WA Commercial),CHIR_IDrecdpCjDgRzBZQ05R-259471-WAMultiple Diagno,recdpCjDgRzBZQ05R,non_duplicate
Reimbursement Policy Updates (Commercial),CHIR_IDrecih8oVPRJK86VNe-259775-AKReimbursement P,recih8oVPRJK86VNe,non_duplicate
"Developmental Delay and Learning Disabilities (OK, OR, TX, WA)",CHIR_IDrec0z05F28fmUS5NF-259923-OKDevelopmental D,rec0z05F28fmUS5NF,non_duplicate
Developmental Delay and Learning Disabilities (CA),CHIR_IDrecXmZnjFzWQ5MTD7-259924-CADevelopmental D,recXmZnjFzWQ5MTD7,non_duplicate
Custodial and Non-Skilled Care Services,CHIR_IDrecbgopsb9VXCWd98-259972-AKCustodial and N,recbgopsb9VXCWd98,non_duplicate
"Drug Waste (Commercial, Medicare)",CHIR_IDrecNWZkYVckHfLb39-260437-WADrug Waste (Com,recNWZkYVckHfLb39,non_duplicate
Multiple Procedure Payment Reduction Outpatient Hospital Claims (Commercial),CHIR_IDreck5GHrIQJtKQPkM-260438-WAMultiple Proced,reck5GHrIQJtKQPkM,non_duplicate
PreventiveRx Plus Plan Drug List (Select California),CHIR_IDrec4WLdpwLZs7LviC-260719-CAPreventiveRx Pl,rec4WLdpwLZs7LviC,non_duplicate
"Ingestion Event Monitors (Commercial, Medicaid)",CHIR_IDrecMt1yb1bXRn2sG2-261133-CAIngestion Event,recMt1yb1bXRn2sG2,non_duplicate
"Mobile Device-Based Health Management Applications (Commercial, Medicaid)",CHIR_IDreccjPecq48KQIWAf-261141-CAMobile Device-B,reccjPecq48KQIWAf,non_duplicate
NetResults A-Series Lite Medication Guide (FL Health Plan),CHIR_IDrecDAwCOhOGFxpTBF-261159-AKNetResults A-Se,recDAwCOhOGFxpTBF,non_duplicate
NetResults A-Series Medication Guide (FL Health Plan),CHIR_IDrecIieQ6iXPZy3ejk-261161-AKNetResults A-Se,recIieQ6iXPZy3ejk,non_duplicate
Electronic batch transactions (WA),CHIR_IDrecw9hCshqQqQcWWh-261296-WAElectronic batc,recw9hCshqQqQcWWh,non_duplicate
Medical Policy Updates (Individual Exchange),CHIR_IDrec4M6Hu1kWDkV4mw-261384-AZMedical Policy ,rec4M6Hu1kWDkV4mw,non_duplicate
"Outpatient Hospital Observation, Facility (Commercial, Individual Exchange)",CHIR_IDrecMYrQPCQbi09uH7-261529-AKOutpatient Hosp,recMYrQPCQbi09uH7,non_duplicate
Multi-Source Brand Name Drugs Formulary Exception,CHIR_IDrecrmFG3oyJPyamJ1-261775-AKMulti-Source Br,recrmFG3oyJPyamJ1,non_duplicate
Levemir (Medical Necessity),CHIR_IDrecYg0rVvXxcLnxqM-262844-AKLevemir (Medica,recYg0rVvXxcLnxqM,non_duplicate
"Diagnosis Related Drug Group Payment and Review (WA Commercial, Medicare)",CHIR_IDrecNvgZpkFH3YLcnV-263274-WADiagnosis Relat,recNvgZpkFH3YLcnV,non_duplicate
National Direct 3-Tier Drug List (CDI),CHIR_IDrecoqAssj0oL8ef23-263385-CANational Direct,recoqAssj0oL8ef23,non_duplicate
National Direct 3-Tier Drug List (DMHC),CHIR_IDrecLEGvSCkUo9YgGE-263386-CANational Direct,recLEGvSCkUo9YgGE,non_duplicate
National Direct 4-Tier Drug List (CDI),CHIR_IDrec1yZ1zdLERAD2uW-263387-CANational Direct,rec1yZ1zdLERAD2uW,non_duplicate
National Direct 4-Tier Drug List (DMHC),CHIR_IDrecdYXyr1Ni0KkRXO-263390-CANational Direct,recdYXyr1Ni0KkRXO,non_duplicate
National Direct 5-Tier Drug List (CDI),CHIR_IDrecc7TYJkd5s9UbdD-263391-CANational Direct,recc7TYJkd5s9UbdD,non_duplicate
National Direct 5-Tier Drug List (DMHC),CHIR_IDrecp2WbvWGqSjjonB-263394-CANational Direct,recp2WbvWGqSjjonB,non_duplicate
National Direct 3-Tier Drug List (ABCBS),CHIR_IDrecXNOK8iyYy39cSN-263415-CONational Direct,recXNOK8iyYy39cSN,non_duplicate
National Direct 3-Tier Drug List (VA),CHIR_IDrecheywsgArHSYjUI-263416-VANational Direct,recheywsgArHSYjUI,non_duplicate
National Direct 4-Tier Drug List (ABCBS),CHIR_IDrecmwaqYDeJs93ngj-263417-CONational Direct,recmwaqYDeJs93ngj,non_duplicate
National Direct 4-Tier Drug List (VA),CHIR_IDrecuA93JZfKIKFbuK-263418-VANational Direct,recuA93JZfKIKFbuK,non_duplicate
National Direct 5-Tier Drug List (ABCBS),CHIR_IDreckuv3HC81WOMMjY-263419-CONational Direct,reckuv3HC81WOMMjY,non_duplicate
National Direct 5-Tier Drug List (VA),CHIR_IDreciSSYtR1PWEFHot-263420-VANational Direct,reciSSYtR1PWEFHot,non_duplicate
National Direct 3-Tier Drug List (NY),CHIR_IDrecqJQaYjgHIbBClv-263421-NYNational Direct,recqJQaYjgHIbBClv,non_duplicate
6-Tier Oscar Individual and Family Plan Formulary (OH Health Plan),CHIR_IDrecIwiLLuw3vqpm7t-264055-OH6-Tier Oscar In,recIwiLLuw3vqpm7t,non_duplicate
Physician Office Lab List (Commercial),CHIR_IDrecJJ180tpOONN5gI-264296-VAPhysician Offic,recJJ180tpOONN5gI,non_duplicate
National Drug Code (NDC) Billing Requirements,CHIR_IDrec1ZKKtbVNfz0ELH-264946-AKNational Drug C,rec1ZKKtbVNfz0ELH,non_duplicate
PreventiveRx Plus Plan Drug List (National Direct) (CA),CHIR_IDrechzqO0Celm2InPn-264965-CAPreventiveRx Pl,rechzqO0Celm2InPn,non_duplicate
PreventiveRx Plus Plan Drug List (National Direct),CHIR_IDrecv7Yayqy833Euj6-264967-AKPreventiveRx Pl,recv7Yayqy833Euj6,non_duplicate
Home Infusion Therapy Exclusion List,CHIR_IDrecTSOY8AZoTqiCl0-264970-AKHome Infusion T,recTSOY8AZoTqiCl0,non_duplicate
PreventiveRx Plus Plan Drug List (National Direct) (NY),CHIR_IDrecYOuXr7mpfSmoE6-264971-NYPreventiveRx Pl,recYOuXr7mpfSmoE6,non_duplicate
Anthem Minimum Coverage D HMO (Medicare Advantage),CHIR_IDrecJ9YIdtica4MdxY-264977-CAAnthem Minimum ,recJ9YIdtica4MdxY,non_duplicate
Clinical Criteria (Arizona),CHIR_IDrecJoi9TQNPausXL7-265384-AZClinical Criter,recJoi9TQNPausXL7,non_duplicate
Clinical Criteria (Maryland),CHIR_IDrec9KHMPEmRVxzv14-265386-MDClinical Criter,rec9KHMPEmRVxzv14,non_duplicate
Clinical Criteria (North Carolina),CHIR_IDrecX77qTSxbyqAdGf-265387-NCClinical Criter,recX77qTSxbyqAdGf,non_duplicate
SILVER -  BlueCHiP Direct,CHIR_IDrecGZFkubGX87COal-265711-FLSILVER -  BlueC,recGZFkubGX87COal,non_duplicate
"Home Health, Skilled and Custodial Care Services (Individual Exchange)","CHIR_IDrecuTJoukNFBElKwM-265957-AZHome Health, Sk",recuTJoukNFBElKwM,non_duplicate
Maximum Dosage and Frequency (Individual Exchange),CHIR_IDrectwYqY7lJ2YI5dE-265994-AZMaximum Dosage ,rectwYqY7lJ2YI5dE,non_duplicate
Oncology Medication Clinical Coverage (Individual Exchange),CHIR_IDrec3j5MOyXKDJi13W-266013-MAOncology Medica,rec3j5MOyXKDJi13W,non_duplicate
Review at Launch for New to Market Medications (Individual Exchange),CHIR_IDrecdL1ZdoioLLc0H6-266047-AZReview at Launc,recdL1ZdoioLLc0H6,non_duplicate
Self Administered Medications (Individual Exchange),CHIR_IDrec3X071pT2xrm25w-266051-AZSelf Administer,rec3X071pT2xrm25w,non_duplicate
Preventive Vaccines (Individual Exchange),CHIR_IDreceQyp60NhGH8gcy-266101-AZPreventive Vacc,receQyp60NhGH8gcy,non_duplicate
Diabetes Medications: GLP-1 &  Dual GIP/GLP-1 Receptor Agonists (Notification),CHIR_IDrecFcB8hbSibqmba3-266276-AKDiabetes Medica,recFcB8hbSibqmba3,non_duplicate
"Experimental, Investigational and/or Unproven Procedures/Services (Commercial)","CHIR_IDrecsgPsThyRlZFXt1-266643-ILExperimental, I",recsgPsThyRlZFXt1,cross_state_duplicate
"Experimental, Investigational and/or Unproven Procedures/Services (Commercial)","CHIR_IDrecpJmvEc8cIuxHMq-266643-TXExperimental, I",recpJmvEc8cIuxHMq,cross_state_duplicate
Maintenance Drug List (Health Plan)(WA),CHIR_IDrecK7oRnulQ7OXO2I-266791-WAMaintenance Dru,recK7oRnulQ7OXO2I,true_duplicate
Maintenance Drug List (Health Plan)(WA),CHIR_IDrecaJQYnvuwXwt58E-266791-WAMaintenance Dru,recaJQYnvuwXwt58E,true_duplicate
Maintenance Drug List (Health Plan)(WA),CHIR_IDrecDhT554Lfvze5qm-266791-WAMaintenance Dru,recDhT554Lfvze5qm,true_duplicate
"Glucagon Products (GlucaGen HypoKit, Gvoke)",CHIR_IDreccUpW8OVLpB0QnD-267269-AKGlucagon Produc,reccUpW8OVLpB0QnD,non_duplicate
Clinical Diagnostic Lab (Professional) (Individual Exchange),CHIR_IDrecPUT9Q0Q1GHDFFP-267298-AZClinical Diagno,recPUT9Q0Q1GHDFFP,non_duplicate
"Hospital Based Ambulance Policy, Facility (Commercial, Individual Exchange)",CHIR_IDrec82Enb5VhfnMlol-267314-AKHospital Based ,rec82Enb5VhfnMlol,non_duplicate
Plus Drug Formulary (Grandfathered DMHC) (Health Plan),CHIR_IDreci9D4SyC5GKCSou-267380-AKPlus Drug Formu,reci9D4SyC5GKCSou,non_duplicate
Plus Drug Formulary (DMHC) (Health Plan),CHIR_IDrecwEa0txF30LCwQc-267382-AKPlus Drug Formu,recwEa0txF30LCwQc,non_duplicate
Group Medical (PPO) Plan Option for Retired Agents: State Farm Mutual Automobile Insurance Company (Large Group),CHIR_IDrecsCYj0NZnoxOGKe-267411-ILGroup Medical (,recsCYj0NZnoxOGKe,non_duplicate
New York Advantage and Essential Preventive Medications (NY Health Plan),CHIR_IDrecG5VCwBS7ICGqOF-267548-NYNew York Advant,recG5VCwBS7ICGqOF,non_duplicate
New York Traditional and Access Preventive Medications (NY Health Plan),CHIR_IDrecKyAB3r497QdT77-267549-NYNew York Tradit,recKyAB3r497QdT77,non_duplicate
Core Preventive Medication List (Health Plan),CHIR_IDrecPwib1SM2MdprL7-267550-AKCore Preventive,recPwib1SM2MdprL7,non_duplicate
California Access Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecW6OGt16cx9nz7e-267551-CACalifornia Acce,recW6OGt16cx9nz7e,non_duplicate
California Access Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecMv3O9c0q911gKP-267552-CACalifornia Acce,recMv3O9c0q911gKP,non_duplicate
California Large Group 4-Tier Essential HMO and PPO Prescription Drug List (Health Plan),CHIR_IDrecxpfyB748fnOumn-267553-CACalifornia Larg,recxpfyB748fnOumn,non_duplicate
Louisiana Essential 4-Tier Drug List (Health Plan),CHIR_IDrecykgzra7JE2sL7o-267554-LALouisiana Essen,recykgzra7JE2sL7o,non_duplicate
Texas Essential 4-Tier Drug List (Health Plan),CHIR_IDreccczwXcarnX9z3T-267555-TXTexas Essential,reccczwXcarnX9z3T,non_duplicate
Aetna Health Exchange Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecAvjXcYpczUkPx1-268391-AKAetna Health Ex,recAvjXcYpczUkPx1,non_duplicate
High End Imaging Site of Care (WA Commercial),CHIR_IDrech1CmB00PVufLv9-268395-WAHigh End Imagin,rech1CmB00PVufLv9,non_duplicate
"Device, Implant, and Skin Substitute, Facility (Commercial, Individual Exchange)","CHIR_IDrecEc2CORhOmi0Khb-268404-AKDevice, Implant",recEc2CORhOmi0Khb,non_duplicate
Standard Opt-Out Plan Prescription Drug List (CA Health Plan),CHIR_IDrecAXi2XVzlG9ZBUi-268465-CAStandard Opt-Ou,recAXi2XVzlG9ZBUi,non_duplicate
Advanced Control Plan Prescription Drug List (CA Health Plan),CHIR_IDrecuHhjBy48zfFIAs-268466-CAAdvanced Contro,recuHhjBy48zfFIAs,non_duplicate
Aetna Advanced Control Chronic Medication List (Health Plan),CHIR_IDreciLNOX0WRwG0oLY-268467-AKAetna Advanced ,reciLNOX0WRwG0oLY,non_duplicate
Cigna Standard 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,recSlQXSljxNDjwxP,non_duplicate
Cigna Specialty Standard 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,recFKQWY0a58xrntl,non_duplicate
Cigna Standard 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard ,recmnXCnXMOZRdmLV,non_duplicate
Cigna Standard 3-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard ,recynhegPVjTmxsw5,non_duplicate
Cigna Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard ,recLamNQ2VlIRIz2r,non_duplicate
Cigna Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard ,reck4PQrMrU1HNgAH,non_duplicate
Cigna Specialty Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty,rec2htHm6fFJXcnVe,non_duplicate
Cigna Specialty Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty,reczN89f6WNs77hqx,non_duplicate
Cigna Value 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,recalp2Vf0dSYE8zP,non_duplicate
Cigna Specialty Value 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,recvhsz05Tb03gEcw,non_duplicate
Cigna Value 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T,recsV0fdNb8FvaEPw,non_duplicate
Cigna Value 3-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T,recsVOQur4ZI5L2A9,non_duplicate
Cigna Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T,recOujHsueib5cDzA,non_duplicate
Cigna Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T,recIfPO3U7ZvTTZCs,non_duplicate
Cigna Specialty Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty,recsPx1FO1IQwUgn1,non_duplicate
Cigna Specialty Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty,recnYvV4HVyFnTJWs,non_duplicate
Cigna Performance 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,rec5boxnyE0YH8kjB,non_duplicate
Cigna Performance 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,recsyKu9FxwVFcOyd,non_duplicate
