Document Title,Policy subpart,uuid_formula,airtable_uuid,Implanted_Type,CGM_count
Balanced Drug List Dispensing Limits (Health Plan),,CHIR_IDrecsCwp0I0aO9jbWE-229477-AKBalanced Drug L,recsCwp0I0aO9jbWE,both implanted and non-implanted,10
Fully-Insured Essential 3-Tier Drug List (NY Health Plan),,CHIR_IDrecTm4D0L4vbQccxw-229501-CTFully-Insured E,recTm4D0L4vbQccxw,non-implanted only,6
Fully-Insured National 3-Tier Drug List (NY Health Plan),,CHIR_IDreclOhNGEKUtwVzZX-229506-CTFully-Insured N,reclOhNGEKUtwVzZX,both implanted and non-implanted,10
Traditional Open 3-Tier Drug List (NY),,CHIR_IDrecRUCLyDIeimfuhV-229512-NYTraditional Ope,recRUCLyDIeimfuhV,both implanted and non-implanted,11
Advanced Control Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrecBQ3c1QzKs20vEI-229627-AKAdvanced Contro,recBQ3c1QzKs20vEI,both implanted and non-implanted,9
Advanced Control Plan Preventive Medicine List (Health Plan),,CHIR_IDreczy0XgH9gJnVRAw-229628-AKAdvanced Contro,reczy0XgH9gJnVRAw,non-implanted only,2
Advanced Control Plan Aetna Exclusion Drug List (Health Plan),,CHIR_IDrecLfswjREUsU8smn-229629-AKAdvanced Contro,recLfswjREUsU8smn,non-implanted only,2
High Value Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrecWyRLfsUD17fvVs-229630-AKHigh Value Plan,recWyRLfsUD17fvVs,non-implanted only,2
Standard Opt Out Plan Preventive Medicine (Health Plan),,CHIR_IDrecr05URW69NKWSeY-229633-AKStandard Opt Ou,recr05URW69NKWSeY,non-implanted only,2
Added Choice Plan Formulary with Specialty Drug Tier (HI),,CHIR_IDrecnFriYQf9kwZ8M6-230638-HIAdded Choice Pl,recnFriYQf9kwZ8M6,both implanted and non-implanted,9
Added Choice Plan Formulary with Specialty Drug Tier (HI),,CHIR_IDrecWSRSS3FPjapozA-230638-HIAdded Choice Pl,recWSRSS3FPjapozA,both implanted and non-implanted,9
Added Choice Plan Formulary with Specialty Drug Tier (HI),,CHIR_IDrecMToLdCxOAHFkZd-230638-HIAdded Choice Pl,recMToLdCxOAHFkZd,both implanted and non-implanted,9
Formulary Exception,,CHIR_IDreciAX8SnvjoFjwXp-230673-AZFormulary Excep,reciAX8SnvjoFjwXp,no devices,0
Performance Annual Drug List (Health Plan),,CHIR_IDrecViSnqdX6t9Pkno-231285-AKPerformance Ann,recViSnqdX6t9Pkno,non-implanted only,2
Health Insurance Marketplace Dispensing Limits (Health Plan),,CHIR_IDrec3uezi6ijl5G0T0-231934-AKHealth Insuranc,rec3uezi6ijl5G0T0,both implanted and non-implanted,10
Basic Dispensing Limits (Health Plan),,CHIR_IDrecIX334jgCHe0VIZ-231935-AKBasic Dispensin,recIX334jgCHe0VIZ,both implanted and non-implanted,10
Balanced Dispensing Limits (Health Plan),,CHIR_IDrecOH12LYRK6vlbzR-231937-AKBalanced Dispen,recOH12LYRK6vlbzR,both implanted and non-implanted,9
Performance Dispensing Limits (Health Plan),,CHIR_IDrec0i66DIWYKXlhh3-231938-AKPerformance Dis,rec0i66DIWYKXlhh3,both implanted and non-implanted,9
Performance Select Dispensing Limits (Health Plan),,CHIR_IDrec0FJQOSZW2AlsYj-231939-AKPerformance Sel,rec0FJQOSZW2AlsYj,both implanted and non-implanted,10
Basic Annual Drug List (Health Plan),,CHIR_IDrecfTSia0DRlaRVWT-231974-AKBasic Annual Dr,recfTSia0DRlaRVWT,non-implanted only,2
Essential Drug List 3-Tier (CDI) (CA),,CHIR_IDrec22ZNnIXTbRgQlK-233733-AKEssential Drug ,rec22ZNnIXTbRgQlK,non-implanted only,6
Essential Drug List 3-Tier (DMHC) (CA),,CHIR_IDrecQakElf8adKXkOj-233738-CAEssential Drug ,recQakElf8adKXkOj,non-implanted only,6
Essential Drug List 4-Tier (CDI) (CA),,CHIR_IDrectSiDHr6onNnKGX-233748-AKEssential Drug ,rectSiDHr6onNnKGX,non-implanted only,6
Essential Drug List 4-Tier (DMHC) (CA),,CHIR_IDrecP45GzDvaYEr7g8-233751-CAEssential Drug ,recP45GzDvaYEr7g8,non-implanted only,6
Essential Drug List 5-Tier (CDI) (CA),,CHIR_IDrect5N36Up0y9P9yX-233760-AKEssential Drug ,rect5N36Up0y9P9yX,non-implanted only,6
Essential Drug List 5-Tier (DMHC) (CA),,CHIR_IDrecMk2TmkON6M2SmG-233761-CAEssential Drug ,recMk2TmkON6M2SmG,non-implanted only,6
National Drug List 3-Tier (CDI),,CHIR_IDrecT2AIpuXrnLWfGH-233772-AKNational Drug L,recT2AIpuXrnLWfGH,both implanted and non-implanted,10
National Drug List 3-Tier (DMHC),,CHIR_IDrecjXZ2HD9Z1BOEHw-233788-CANational Drug L,recjXZ2HD9Z1BOEHw,both implanted and non-implanted,10
National Drug List 4-Tier (CDI),,CHIR_IDrecWT3botEub4kQTB-233794-AKNational Drug L,recWT3botEub4kQTB,both implanted and non-implanted,10
National Drug List 4-Tier (DMHC),,CHIR_IDrec19Bct3rrGmwmgs-233799-CANational Drug L,rec19Bct3rrGmwmgs,both implanted and non-implanted,10
National Drug List 5-Tier (CDI),,CHIR_IDrecRTYlxFbF7wo0bI-233800-AKNational Drug L,recRTYlxFbF7wo0bI,both implanted and non-implanted,10
Essential Drug List 5-Tier (DMHC),,CHIR_IDrecBl5wgVra8ft3gd-233803-CAEssential Drug ,recBl5wgVra8ft3gd,non-implanted only,6
National Drug List Closed Formulary (CDI) (CA),,CHIR_IDrecS8WQXQUYcGxloO-233819-CANational Drug L,recS8WQXQUYcGxloO,non-implanted only,5
National Drug List Closed Formulary (DMHC) (CA),,CHIR_IDrecpT7BulJdhKX6Zi-233834-CANational Drug L,recpT7BulJdhKX6Zi,non-implanted only,5
Traditional Open Drug List 3-Tier (CDI) (CA),,CHIR_IDrecOjFTvQHjqejWhu-233840-AKTraditional Ope,recOjFTvQHjqejWhu,both implanted and non-implanted,11
Traditional Open Drug List 3-Tier (DMHC) (CA),,CHIR_IDrecR6shwRDJ1EZP81-233845-CATraditional Ope,recR6shwRDJ1EZP81,both implanted and non-implanted,11
Traditional Open Drug List 4-Tier (CDI) (CA),,CHIR_IDrec1mptlQ9IIffekC-233846-AKTraditional Ope,rec1mptlQ9IIffekC,both implanted and non-implanted,11
Traditional Open Drug List 4-Tier (DMHC) (CA),,CHIR_IDrecn3W3M0XkDRsI85-233847-CATraditional Ope,recn3W3M0XkDRsI85,both implanted and non-implanted,11
Traditional Open Drug List 5-Tier (CDI) (CA),,CHIR_IDrec8zJ6mu4xa4PyqC-233848-AKTraditional Ope,rec8zJ6mu4xa4PyqC,both implanted and non-implanted,11
Traditional Open Drug List 5-Tier (DMHC) (CA),,CHIR_IDrecHULLvIQv0r1Tu2-233851-AKTraditional Ope,recHULLvIQv0r1Tu2,both implanted and non-implanted,11
Generic Premium Drug List (CDI) (CA),,CHIR_IDrec8Nwn6tn7KNZaQX-233856-AKGeneric Premium,rec8Nwn6tn7KNZaQX,no devices,0
Generic Premium Drug List (DHMC) (CA),,CHIR_IDrecXxthQSq5ngqXX5-233864-CAGeneric Premium,recXxthQSq5ngqXX5,no devices,0
Summary of Medical Policy Changes,,CHIR_IDrecrAQyN28AvzFJYl-235034-CASummary of Medi,recrAQyN28AvzFJYl,no devices,0
"Glucose Test Strips, Disks, and Meters (Commercial)",,CHIR_IDreci6UeVVhae8CusV-236940-FLGlucose Test St,reci6UeVVhae8CusV,no devices,0
Type 1 Diabetes Treatment Guideline (WA),,CHIR_IDrecOHYk7Iqf9VD9T9-237512-WAType 1 Diabetes,recOHYk7Iqf9VD9T9,no devices,0
Type 2 Diabetes Treatment Guideline (WA),,CHIR_IDrecisboxHU3TvWuAO-237513-WAType 2 Diabetes,recisboxHU3TvWuAO,no devices,0
Global Prior Authorization,,CHIR_IDrec6d4UGV9bPs6bPk-237519-AKGlobal Prior Au,rec6d4UGV9bPs6bPk,no devices,0
Tobacco Use Guideline (WA),,CHIR_IDrecRYUJuMgQoCFcoZ-237577-WATobacco Use Gui,recRYUJuMgQoCFcoZ,no devices,0
Byetta,,CHIR_IDrecIt4MKUwenBlN4e-237597-AKByetta,recIt4MKUwenBlN4e,no devices,0
"Access, Elect, and Kaiser Permanente Options Federal Plans Out-Of-Network Reimbursement (WA)",,"CHIR_IDrec8nbl0dPsNYZ2iF-237616-WAAccess, Elect, ",rec8nbl0dPsNYZ2iF,no devices,0
Ambulance Services (WA),,CHIR_IDreccVWwTtbvYgZc4V-237619-CAAmbulance Servi,reccVWwTtbvYgZc4V,no devices,0
Assistant Surgeon (WA),,CHIR_IDreczltHBk4Aldotyb-237626-WAAssistant Surge,reczltHBk4Aldotyb,no devices,0
Code Editing (WA),,CHIR_IDrecPNAXjh5FKDiCR8-237671-WACode Editing (W,recPNAXjh5FKDiCR8,no devices,0
Computer-Aided Detection (CAD) for Mammography (WA),,CHIR_IDrecPt8ksLcazY67pn-237686-WAComputer-Aided ,recPt8ksLcazY67pn,no devices,0
Evaluation and Management Services with Preventive Services (WA),,CHIR_IDrecJtPEWj5Ym6jjhP-237756-WAEvaluation and ,recJtPEWj5Ym6jjhP,no devices,0
Facility Charges for Evaluation and Management Services (WA),,CHIR_IDrecNgfqvwL9gvocuh-237757-WAFacility Charge,recNgfqvwL9gvocuh,no devices,0
Fetal Non-Stress Tests (WA),,CHIR_IDrecxCtPMKYhiY0RKO-237775-WAFetal Non-Stres,recxCtPMKYhiY0RKO,no devices,0
Injectable Drugs (WA),,CHIR_IDrecdJyR6Tn2NQI8pS-237789-WAInjectable Drug,recdJyR6Tn2NQI8pS,no devices,0
"Modifiers (WA Commercial, Medicare, Medicaid)",,CHIR_IDrecM2Rm9s0sgK87G0-237818-WAModifiers (WA C,recM2Rm9s0sgK87G0,no devices,0
Non-Covered Services (WA),,CHIR_IDreczqERdpuLIH4oQ2-237827-WANon-Covered Ser,reczqERdpuLIH4oQ2,no devices,0
Pharmacist Reimbursement (WA),,CHIR_IDrecPoZNuEtZyF12lP-237829-WAPharmacist Reim,recPoZNuEtZyF12lP,no devices,0
Victoza,,CHIR_IDrecLstjPQWDMvQv9b-237868-AKVictoza,recLstjPQWDMvQv9b,no devices,0
Self-Treatment or Treatment of Immediate Family Members (WA),,CHIR_IDrecBBshIphExEgdks-237947-WASelf-Treatment ,recBBshIphExEgdks,no devices,0
Services Incidental to Inpatient Admissions (WA),,CHIR_IDreczTRlzqukpSlgLC-237949-WAServices Incide,reczTRlzqukpSlgLC,no devices,0
Shared Medical Appointments (WA),,CHIR_IDrecR77KqKg90bNP7V-237955-WAShared Medical ,recR77KqKg90bNP7V,no devices,0
Unlisted Codes (WA),,CHIR_IDrecFW6LB9t48rNWWN-237956-WAUnlisted Codes ,recFW6LB9t48rNWWN,no devices,0
"Virtual Care (WA Commercial, Medicare)",,CHIR_IDrecnXvr0TPK36SiTv-237969-WAVirtual Care (W,recnXvr0TPK36SiTv,no devices,0
Visiting Member Claims (WA),,CHIR_IDrecVsJW4nLnXT0T7z-238061-WAVisiting Member,recVsJW4nLnXT0T7z,no devices,0
Requirements and Management Guidelines (WA),,CHIR_IDrecOcFGm6NgnTmJ9m-238145-WARequirements an,recOcFGm6NgnTmJ9m,no devices,0
Utilization Management,,CHIR_IDrecRySnZdQbvEo7jq-238212-COUtilization Man,recRySnZdQbvEo7jq,no devices,0
Comparison of Kaiser Permanente Plans,,CHIR_IDrecVRjX2lJDH18uat-238232-WAComparison of K,recVRjX2lJDH18uat,no devices,0
Kaiser Permanente Member ID Cards,,CHIR_IDreckSCIsWJsUW01XJ-238233-WAKaiser Permanen,reckSCIsWJsUW01XJ,no devices,0
Kaiser Permanente Plans Overview,,CHIR_IDreco9bw8vwFCn6SZV-238236-WAKaiser Permanen,reco9bw8vwFCn6SZV,no devices,0
Measuring Quality of Mental Health Care,,CHIR_IDrecmfJYmkm1F325PY-238264-WAMeasuring Quali,recmfJYmkm1F325PY,no devices,0
Elective and Emergency Hospital Admissions,,CHIR_IDreczqxPmNJmmokBql-238283-WAElective and Em,reczqxPmNJmmokBql,no devices,0
Emergency Care,,CHIR_IDrectxwygoGHXExUqn-238286-WAEmergency Care,rectxwygoGHXExUqn,no devices,0
Medical Transportation,,CHIR_IDrece1If9Ws4ooVUNd-238288-WAMedical Transpo,rece1If9Ws4ooVUNd,no devices,0
"Nursing Home Care Long Term Care (Custodial Care) (Commercial, Medicare Part D)",,CHIR_IDrec6zA37SImTu35oT-238300-WANursing Home Ca,rec6zA37SImTu35oT,no devices,0
About the Drug Formulary,,CHIR_IDrectxTO0cIqwVRFdq-238311-WAAbout the Drug ,rectxTO0cIqwVRFdq,no devices,0
Pharmacy Drug Benefit Help Desk,,CHIR_IDrec5yCuNmeBgzdBKm-238317-WAPharmacy Drug B,rec5yCuNmeBgzdBKm,no devices,0
Advance Directives,,CHIR_IDrecJ1jDgoNbv26g5D-238360-WAAdvance Directi,recJ1jDgoNbv26g5D,no devices,0
Informed Consent,,CHIR_IDrecPgQLGjc5s91jiv-238361-WAInformed Consen,recPgQLGjc5s91jiv,no devices,0
Physical Restraints and Seclusion,,CHIR_IDrecoX7jLp5eAAUNv5-238373-WAPhysical Restra,recoX7jLp5eAAUNv5,no devices,0
Responsibilities to Members,,CHIR_IDrecjhlisUXzquPAvi-238375-WAResponsibilitie,recjhlisUXzquPAvi,no devices,0
Right to An Appeal,,CHIR_IDrecFIffHFSOk8Segx-238376-WARight to An App,recFIffHFSOk8Segx,no devices,0
Right to A Second Opinion,,CHIR_IDreccBoJzzJCAtWhnv-238379-WARight to A Seco,reccBoJzzJCAtWhnv,no devices,0
Statement of Member Rights and Responsibilities,,CHIR_IDrecubcxoq6o57B2oS-238389-WAStatement of Me,recubcxoq6o57B2oS,no devices,0
Member Access to Medical Records,,CHIR_IDrecqlEhsi15Pz4RZ0-238391-WAMember Access t,recqlEhsi15Pz4RZ0,no devices,0
Complementary and Alternative Medicine,,CHIR_IDrec70Qonh9xXUc3CN-238397-WAComplementary a,rec70Qonh9xXUc3CN,no devices,0
Patient Education and Support Services,,CHIR_IDrecAs5ed91EefxPpG-238442-WAPatient Educati,recAs5ed91EefxPpG,no devices,0
Women's Health Care Services,,CHIR_IDrecNkazpT3WsDyfsC-238452-WAWomen's Health ,recNkazpT3WsDyfsC,no devices,0
Clinical Performance Reviews,,CHIR_IDreck38Xp5bShrFOFe-238460-WAClinical Perfor,reck38Xp5bShrFOFe,no devices,0
Practitioner Credentialing,,CHIR_IDrecgTHvJi5psLaLyg-238471-WAPractitioner Cr,recgTHvJi5psLaLyg,no devices,0
Basic Annual Drug List Dispensing Limits (Health Plan),,CHIR_IDrechJo0JdJnD1FlIw-238681-AKBasic Annual Dr,rechJo0JdJnD1FlIw,both implanted and non-implanted,10
Enhanced Annual Formulary Dispensing Limits (Health Plan),,CHIR_IDrecps26xB6wNUYp1u-238900-AKEnhanced Annual,recps26xB6wNUYp1u,both implanted and non-implanted,10
Performance Annual Drug List Dispensing Limits (Health Plan),,CHIR_IDrecjm5u9PZEEByRoE-238948-AKPerformance Ann,recjm5u9PZEEByRoE,both implanted and non-implanted,8
Provider Newsletter (Illinois),,CHIR_IDrecPnFpA5D1xBVvtI-239875-ILProvider Newsle,recPnFpA5D1xBVvtI,no devices,0
Better Health Newsletters (Kentucky),,CHIR_IDrecCn2EwdF69Jnmf1-239880-KYBetter Health N,recCn2EwdF69Jnmf1,no devices,0
Chronic Medicine Standard Opt Out Plan and Basic Control Plan with ACSF (Health Plan),,CHIR_IDrecQ1D6Y8At6uJfTH-240418-MOChronic Medicin,recQ1D6Y8At6uJfTH,non-implanted only,2
"Durable Medical Equipment (DME), Prosthetics, Corrective Appliances/Orthotics (Non-Foot Orthotics) and Medical Supplies Grid (West OR, OK, TX, and WA)",,CHIR_IDrecDNY1ysgbn7U9Vb-240697-OKDurable Medical,recDNY1ysgbn7U9Vb,no devices,0
"Maternity and Newborn Care (West OK, OR, TX, WA)",,CHIR_IDrecQ1nX4xCohBwaWh-240698-OKMaternity and N,recQ1nX4xCohBwaWh,no devices,0
Newsletters (VA HMO SNP),,CHIR_IDrecMqhlHAcxoE5jnv-240924-VANewsletters (VA,recMqhlHAcxoE5jnv,no devices,0
Korlym (Commercial),,CHIR_IDreclxhKxBnf4rVvXm-242838-AKKorlym (Commerc,reclxhKxBnf4rVvXm,no devices,0
Continuous Glucose Monitoring IMPLANTABLE,,CHIR_IDrecAjzYgh9pic2R6r-246071-CAContinuous Gluc,recAjzYgh9pic2R6r,implanted only,1
Continuous Glucose Monitoring,,CHIR_IDrecOTvumKhlgyxws5-246071-CAContinuous Gluc,recOTvumKhlgyxws5,non-implanted only,2
"Basaglar (WA, OR Commercial)",,"CHIR_IDrecj5UqSF67n9xcwk-246160-ORBasaglar (WA, O",recj5UqSF67n9xcwk,no devices,0
General Medication (AR Commercial),,CHIR_IDrectETFfxLl33wqPL-247277-ARGeneral Medicat,rectETFfxLl33wqPL,no devices,0
Prescription Drug (CA Commercial),,CHIR_IDrecVFxD9yIhEJK1vb-247278-CAPrescription Dr,recVFxD9yIhEJK1vb,no devices,0
Uniform Drug (CO Commercial),,CHIR_IDrecvmWgksfjxVSVJ3-247279-COUniform Drug (C,recvmWgksfjxVSVJ3,no devices,0
Uniform Prescription Drug (LA Commercial),,CHIR_IDrecvbZkCJjCJIZ11h-247281-LAUniform Prescri,recvbZkCJjCJIZ11h,no devices,0
Standard Medication (MA Commercial),,CHIR_IDrecTrvgP1JMhwXPVm-247282-MAStandard Medica,recTrvgP1JMhwXPVm,no devices,0
Prescription Drugs (MI Commercial),,CHIR_IDrecx6HfPspM8bEmhL-247283-MIPrescription Dr,recx6HfPspM8bEmhL,no devices,0
General Medication (MS Commercial),,CHIR_IDrecboz2xgRfWaMsQ4-247284-MSGeneral Medicat,recboz2xgRfWaMsQ4,no devices,0
Uniform Prescription Drugs (NH Commercial),,CHIR_IDrecvFdminzWEcY8v7-247285-NHUniform Prescri,recvFdminzWEcY8v7,no devices,0
Uniform Prescription (OR Commercial),,CHIR_IDrec6KnckyNmLKNhhl-247287-ORUniform Prescri,rec6KnckyNmLKNhhl,no devices,0
Prescription Drugs (TX Commercial),,CHIR_IDrecrlKaG20uW6WVzm-247288-TXPrescription Dr,recrlKaG20uW6WVzm,no devices,0
General Medication (WV Commercial),,CHIR_IDrecEmV4QNnAtpq5D5-247289-WVGeneral Medicat,recEmV4QNnAtpq5D5,no devices,0
Master Precertification List,,CHIR_IDrectOhdKhOeAaBjQB-247405-AKMaster Precerti,rectOhdKhOeAaBjQB,no devices,0
Responsible Quantity Program,,CHIR_IDrec9QgAyYuB6BEUSd-247456-FLResponsible Qua,rec9QgAyYuB6BEUSd,non-implanted only,5
"Emergency Department Facility Evaluation and Management (Commercial, Medicare)",,CHIR_IDrec10SUeDXdRRFDK8-248802-AZEmergency Depar,rec10SUeDXdRRFDK8,no devices,0
Coronavirus (COVID 19) Interim Billing Guidance for Providers (Commercial),,CHIR_IDrecBflazaemSrXix3-250933-AKCoronavirus (CO,recBflazaemSrXix3,no devices,0
Transition of Care (IL),,CHIR_IDrecuoJuYicNtuaTTB-250956-ILTransition of C,recuoJuYicNtuaTTB,no devices,0
General PA Form (IL),,CHIR_IDrec9fDl0Vm8sd1JL2-250957-ILGeneral PA Form,rec9fDl0Vm8sd1JL2,no devices,0
COVID 19 Telemedicine News (Commercial),,CHIR_IDrecrQJt7FDP7kcLQT-251937-AKCOVID 19 Teleme,recrQJt7FDP7kcLQT,no devices,0
"COVID 19 Billing and Coding News (Commercial, Medicare)",,CHIR_IDrecriutSvu0VGGcGV-251938-AKCOVID 19 Billin,recriutSvu0VGGcGV,no devices,0
COVID 19 Patient Coverage News,,CHIR_IDrecxxEyw1o42iW7QY-251939-AKCOVID 19 Patien,recxxEyw1o42iW7QY,no devices,0
COVID 19 News (Individuals and Families),,CHIR_IDrecQ8RBCttj0bWHMm-251942-ALCOVID 19 News (,recQ8RBCttj0bWHMm,no devices,0
Driving Skills Assessment (WA Commercial),,CHIR_IDrec427WBXUswawm75-252141-WADriving Skills ,rec427WBXUswawm75,no devices,0
Basic Annual Dispensing Limits List (Health Plan),,CHIR_IDrec9DPMkR0s4bTm5J-252487-AKBasic Annual Di,rec9DPMkR0s4bTm5J,both implanted and non-implanted,9
Small Group ACA Master PA Criteria,,CHIR_IDrec1caWJtcgtcMXQm-253056-AKSmall Group ACA,rec1caWJtcgtcMXQm,no devices,0
"Line Item Deduction (WA Commercial, WA Medicare)",,CHIR_IDrec5JVXSvBMEGgDAc-254347-WALine Item Deduc,rec5JVXSvBMEGgDAc,no devices,0
"Medical Necessity (WA Commercial, WA Medicare)",,CHIR_IDrecbuQwUw1HvTC7jG-254348-WAMedical Necessi,recbuQwUw1HvTC7jG,no devices,0
"Trauma Activation (WA Commercial, WA Medicare)",,CHIR_IDrecY8lowmXhuMFtox-254349-WATrauma Activati,recY8lowmXhuMFtox,no devices,0
Ambulance Services,,CHIR_IDrecJzT0ZsIWDJbuzS-254960-AZAmbulance Servi,recJzT0ZsIWDJbuzS,no devices,0
KPCO Master PA Criteria (CO),,CHIR_IDrecmTtqsKmKSiy0hI-256041-COKPCO Master PA ,recmTtqsKmKSiy0hI,no devices,0
"Mid and Large Size Employer Group Formulary (MD, VA, D.C.)",,CHIR_IDrec5HUmepgzacLkrL-256631-DCMid and Large S,rec5HUmepgzacLkrL,no devices,0
"Mid and Large Size Employer Group Formulary (MD, VA, D.C.)",,CHIR_IDrec6VvRt9RDkOlgBl-256631-DCMid and Large S,rec6VvRt9RDkOlgBl,no devices,0
"Mid and Large Size Employer Group Formulary (MD, VA, D.C.)",,CHIR_IDrecbNS7Wb9lOrmXnF-256631-DCMid and Large S,recbNS7Wb9lOrmXnF,no devices,0
Master PA Criteria (Commercial),,CHIR_IDrecmbiIpPYa8RwSXN-256949-DCMaster PA Crite,recmbiIpPYa8RwSXN,no devices,0
"Kaiser Permanente Bernard J. Tyson School of Medicine, Inc. Exclusive Provider Organization (EPO) Student Blanket Health Plan Drug Formulary",,CHIR_IDrecom59K2nY26Si0v-256950-CAKaiser Permanen,recom59K2nY26Si0v,both implanted and non-implanted,9
"Kaiser Permanente Bernard J. Tyson School of Medicine, Inc. Exclusive Provider Organization (EPO) Student Blanket Health Plan Drug Formulary",,CHIR_IDrecsBFuSUeOV3S9il-256950-CAKaiser Permanen,recsBFuSUeOV3S9il,both implanted and non-implanted,9
Category III CPT Codes,,CHIR_IDrecqixAHoiENRTdI8-258841-AKCategory III CP,recqixAHoiENRTdI8,non-implanted only,1
Invokana (Non-formulary) (Commercial),,CHIR_IDrec1lwhgi2Ifu794h-258955-AKInvokana (Non-f,rec1lwhgi2Ifu794h,no devices,0
"Women's Health (WA Commercial, WA Medicare)",,CHIR_IDrecvCeh7d2YsiRe7z-258994-WAWomen's Health ,recvCeh7d2YsiRe7z,no devices,0
"Diphtheria, Tetanus, and Pertussis Vaccines (Commercial)",,"CHIR_IDrecSVtBTdN0a6keto-2591-AKDiphtheria, Tet",recSVtBTdN0a6keto,no devices,0
Multiple Diagnostic Imaging Multiple Procedure Payment Reduction (WA Commercial),,CHIR_IDrecdpCjDgRzBZQ05R-259471-WAMultiple Diagno,recdpCjDgRzBZQ05R,no devices,0
Custodial and Non-Skilled Care Services,,CHIR_IDrecbgopsb9VXCWd98-259972-AKCustodial and N,recbgopsb9VXCWd98,no devices,0
"Drug Waste (Commercial, Medicare)",,CHIR_IDrecNWZkYVckHfLb39-260437-WADrug Waste (Com,recNWZkYVckHfLb39,no devices,0
Multiple Procedure Payment Reduction Outpatient Hospital Claims (Commercial),,CHIR_IDreck5GHrIQJtKQPkM-260438-WAMultiple Proced,reck5GHrIQJtKQPkM,no devices,0
NetResults A-Series Lite Medication Guide (FL Health Plan),,CHIR_IDrecDAwCOhOGFxpTBF-261159-AKNetResults A-Se,recDAwCOhOGFxpTBF,non-implanted only,2
NetResults A-Series Medication Guide (FL Health Plan),,CHIR_IDrecIieQ6iXPZy3ejk-261161-AKNetResults A-Se,recIieQ6iXPZy3ejk,non-implanted only,2
Electronic batch transactions (WA),,CHIR_IDrecw9hCshqQqQcWWh-261296-WAElectronic batc,recw9hCshqQqQcWWh,no devices,0
Multi-Source Brand Name Drugs Formulary Exception,,CHIR_IDrecrmFG3oyJPyamJ1-261775-AKMulti-Source Br,recrmFG3oyJPyamJ1,no devices,0
Levemir (Medical Necessity),,CHIR_IDrecYg0rVvXxcLnxqM-262844-AKLevemir (Medica,recYg0rVvXxcLnxqM,no devices,0
"Diagnosis Related Drug Group Payment and Review (WA Commercial, Medicare)",,CHIR_IDrecNvgZpkFH3YLcnV-263274-WADiagnosis Relat,recNvgZpkFH3YLcnV,no devices,0
National Direct 3-Tier Drug List (CDI),,CHIR_IDrecoqAssj0oL8ef23-263385-CANational Direct,recoqAssj0oL8ef23,both implanted and non-implanted,6
National Direct 3-Tier Drug List (DMHC),,CHIR_IDrecLEGvSCkUo9YgGE-263386-CANational Direct,recLEGvSCkUo9YgGE,both implanted and non-implanted,6
National Direct 4-Tier Drug List (CDI),,CHIR_IDrec1yZ1zdLERAD2uW-263387-CANational Direct,rec1yZ1zdLERAD2uW,both implanted and non-implanted,6
National Direct 4-Tier Drug List (DMHC),,CHIR_IDrecdYXyr1Ni0KkRXO-263390-CANational Direct,recdYXyr1Ni0KkRXO,both implanted and non-implanted,6
National Direct 5-Tier Drug List (CDI),,CHIR_IDrecc7TYJkd5s9UbdD-263391-CANational Direct,recc7TYJkd5s9UbdD,both implanted and non-implanted,6
National Direct 5-Tier Drug List (DMHC),,CHIR_IDrecp2WbvWGqSjjonB-263394-CANational Direct,recp2WbvWGqSjjonB,both implanted and non-implanted,6
National Direct 3-Tier Drug List (ABCBS),,CHIR_IDrecXNOK8iyYy39cSN-263415-CONational Direct,recXNOK8iyYy39cSN,both implanted and non-implanted,6
National Direct 3-Tier Drug List (VA),,CHIR_IDrecheywsgArHSYjUI-263416-VANational Direct,recheywsgArHSYjUI,both implanted and non-implanted,6
National Direct 4-Tier Drug List (ABCBS),,CHIR_IDrecmwaqYDeJs93ngj-263417-CONational Direct,recmwaqYDeJs93ngj,both implanted and non-implanted,6
National Direct 4-Tier Drug List (VA),,CHIR_IDrecuA93JZfKIKFbuK-263418-VANational Direct,recuA93JZfKIKFbuK,both implanted and non-implanted,6
National Direct 5-Tier Drug List (ABCBS),,CHIR_IDreckuv3HC81WOMMjY-263419-CONational Direct,reckuv3HC81WOMMjY,both implanted and non-implanted,6
National Direct 5-Tier Drug List (VA),,CHIR_IDreciSSYtR1PWEFHot-263420-VANational Direct,reciSSYtR1PWEFHot,both implanted and non-implanted,6
National Direct 3-Tier Drug List (NY),,CHIR_IDrecqJQaYjgHIbBClv-263421-NYNational Direct,recqJQaYjgHIbBClv,both implanted and non-implanted,6
6-Tier Oscar Individual and Family Plan Formulary (OH Health Plan),,CHIR_IDrecIwiLLuw3vqpm7t-264055-OH6-Tier Oscar In,recIwiLLuw3vqpm7t,non-implanted only,2
National Drug Code (NDC) Billing Requirements,,CHIR_IDrec1ZKKtbVNfz0ELH-264946-AKNational Drug C,rec1ZKKtbVNfz0ELH,no devices,0
Clinical Criteria (Arizona),,CHIR_IDrecJoi9TQNPausXL7-265384-AZClinical Criter,recJoi9TQNPausXL7,non-implanted only,1
Clinical Criteria (Maryland),,CHIR_IDrec9KHMPEmRVxzv14-265386-MDClinical Criter,rec9KHMPEmRVxzv14,non-implanted only,1
Clinical Criteria (North Carolina),,CHIR_IDrecX77qTSxbyqAdGf-265387-NCClinical Criter,recX77qTSxbyqAdGf,non-implanted only,1
